combined_text
Toyota Yaris Petrol Automatic 2021 17.0 3400000 3-Star 1496CC
Honda City Petrol Automatic 2020 16.5 3200000 3-Star 1498CC
Toyota Corolla Petrol Automatic 2019 18.0 3450000 4-Star 1798CC
Toyota Land Cruiser Hybrid Manual 2019 22.0 2750088 4-Star 1333CC
Toyota Corolla Petrol Manual 2021 18.0 5952113 4-Star 1304CC
Toyota Corolla Diesel Automatic 2018 28.0 7212702 4-Star 1628CC
Toyota Camry Hybrid Automatic 2019 12.0 3017591 5-Star 1447CC
Toyota Camry Electric Automatic 2020 32.0 7228575 4-Star 1377CC
Toyota Camry Hybrid Manual 2020 15.0 3933801 3-Star 1496CC
Toyota Yaris Petrol Manual 2022 12.0 5556122 3-Star 804CC
Toyota Yaris Diesel Automatic 2018 14.0 4351900 4-Star 1437CC
Toyota Land Cruiser Electric Manual 2024 33.0 1931353 4-Star 1493CC
Toyota Corolla Hybrid Manual 2018 14.0 6698951 3-Star 1004CC
Toyota Yaris Diesel Manual 2020 32.0 2835261 5-Star 1647CC
Toyota Yaris Hybrid Automatic 2018 21.0 5480907 5-Star 1143CC
Toyota Corolla Hybrid Automatic 2019 21.0 6978424 3-Star 1059CC
Toyota Camry Petrol Automatic 2021 34.0 2688030 3-Star 1194CC
Honda Civic Petrol Automatic 2019 23.0 2979564 4-Star 1087CC
Honda Civic Hybrid Automatic 2020 15.0 3144624 4-Star 1132CC
Honda Civic Petrol Automatic 2020 17.0 6967695 5-Star 1704CC
Honda City Petrol Automatic 2023 13.0 2371542 3-Star 1073CC
Honda Accord Electric Automatic 2021 33.0 6774140 5-Star 1274CC
Honda Accord Diesel Automatic 2021 10.0 2700336 5-Star 1009CC
Honda Accord Hybrid Manual 2021 21.0 6570307 5-Star 1252CC
Honda City Petrol Automatic 2021 20.0 5918892 5-Star 804CC
Honda City Petrol Manual 2024 10.0 5525160 4-Star 1629CC
Honda City Electric Manual 2022 10.0 4542239 4-Star 1057CC
Honda City Electric Manual 2019 24.0 2169530 5-Star 1280CC
Honda Accord Hybrid Manual 2021 28.0 3951947 5-Star 926CC
Honda Accord Hybrid Automatic 2023 11.0 1855818 4-Star 1516CC
Honda Accord Petrol Automatic 2023 24.0 5471470 3-Star 844CC
Honda Civic Diesel Manual 2019 31.0 3843603 5-Star 1529CC
Honda Civic Hybrid Manual 2021 16.0 5369547 3-Star 945CC
Honda Civic Electric Automatic 2019 26.0 4264538 4-Star 950CC
Suzuki Alto Diesel Automatic 2020 23.0 6919373 4-Star 1608CC
Suzuki Cultus Electric Manual 2021 25.0 5232511 5-Star 1776CC
Suzuki Alto Hybrid Automatic 2018 10.0 2072901 5-Star 1086CC
Suzuki Alto Hybrid Automatic 2019 33.0 4318946 3-Star 1071CC
Suzuki Alto Diesel Automatic 2018 19.0 2806039 3-Star 1086CC
Suzuki Swift Hybrid Manual 2018 13.0 7189927 4-Star 1268CC
Suzuki Swift Petrol Automatic 2023 23.0 1640010 4-Star 1384CC
Suzuki Alto Electric Automatic 2020 21.0 2373604 5-Star 1132CC
Suzuki Alto Electric Manual 2020 33.0 1602337 3-Star 1317CC
Suzuki Alto Hybrid Manual 2022 18.0 2264190 3-Star 1761CC
Suzuki Cultus Petrol Automatic 2018 27.0 6949961 5-Star 883CC
Suzuki Swift Diesel Manual 2023 30.0 2326168 5-Star 1978CC
Suzuki Swift Hybrid Manual 2021 29.0 4121915 4-Star 1211CC
Suzuki Cultus Petrol Automatic 2019 15.0 4527836 4-Star 875CC
Suzuki Alto Petrol Manual 2018 32.0 3102906 4-Star 1444CC
Suzuki Swift Electric Automatic 2020 29.0 4617181 3-Star 1872CC
Suzuki Cultus Electric Automatic 2021 18.0 4487775 4-Star 1620CC
Nissan Sunny Electric Manual 2021 13.0 1572777 3-Star 1867CC
Nissan X-Trail Diesel Manual 2021 27.0 5591719 5-Star 1877CC
Nissan X-Trail Hybrid Automatic 2020 10.0 5198309 3-Star 1728CC
Nissan Micra Diesel Automatic 2020 14.0 4008514 5-Star 1019CC
Nissan X-Trail Diesel Manual 2018 22.0 2476689 3-Star 933CC
Nissan X-Trail Petrol Manual 2019 15.0 2083188 5-Star 1998CC
Nissan X-Trail Electric Automatic 2024 23.0 7140287 4-Star 1428CC
Nissan Sunny Electric Manual 2021 16.0 2284716 3-Star 1287CC
Nissan Sunny Hybrid Manual 2019 28.0 5193576 3-Star 1790CC
Nissan X-Trail Electric Manual 2022 19.0 6054117 5-Star 1519CC
Nissan Sunny Hybrid Automatic 2018 18.0 5821037 5-Star 1421CC
Nissan Micra Hybrid Manual 2022 29.0 2608443 4-Star 1515CC
Nissan Micra Electric Automatic 2023 21.0 6355211 4-Star 1437CC
Nissan X-Trail Diesel Manual 2020 30.0 2961917 4-Star 1717CC
